,dominant_r,dominant_g,dominant_b
1077,164,156,153.0
1078,154,130,109.0
1079,119,89,61.0
1080,152,114,91.0
1081,102,92,78.0
1082,148,131,108.0
1083,191,192,178.0
1084,183,165,149.0
1085,125,111,120.0
1086,140,126,81.0
1087,198,158,131.0
1088,245,183,46.0
1089,117,114,119.0
1090,162,138,110.0
1091,60,53,41.0
1092,76,82,77.0
1093,58,38,27.0
1094,69,59,62.0
1095,122,96,86.0
1096,157,146,134.0
1097,99,88,98.0
1098,162,130,97.0
1099,142,144,156.0
1100,86,86,85.0
1101,111,65,74.0
1102,157,138,120.0
1103,133,71,70.0
1104,144,123,113.0
1105,165,165,160.0
1106,154,120,92.0
1107,65,23,25.0
1108,84,81,84.0
1109,127,123,114.0
1110,128,104,69.0
1111,121,109,106.0
1112,45,29,19.0
1113,129,104,103.0
1114,81,102,135.0
1115,108,104,103.0
1116,115,102,96.0
1117,141,118,98.0
1118,98,99,100.0
1119,220,206,184.0
1120,78,82,84.0
1121,142,101,68.0
1122,37,54,47.0
1123,72,60,49.0
1124,120,110,89.0
1125,64,53,47.0
1126,192,77,94.0
1127,54,48,43.0
1128,142,134,129.0
1129,84,43,28.0
1130,63,56,46.0
1131,209,204,185.0
1132,57,74,117.0
1133,114,72,72.0
1134,72,63,84.0
1135,108,146,136.0
1136,113,98,88.0
1137,87,56,34.0
1138,140,107,76.0
1139,97,75,65.0
1140,78,66,62.0
1141,108,67,51.0
1142,221,168,71.0
1143,110,106,102.0
1144,82,81,81.0
1145,75,83,76.0
1146,154,108,105.0
1147,121,106,101.0
1148,157,155,132.0
1149,131,114,94.0
1150,191,184,182.0
1151,124,124,132.0
1152,80,80,80.0
1153,129,87,59.0
1154,139,91,69.0
1155,87,87,86.0
1156,75,126,124.0
1157,129,137,148.0
1158,159,90,61.0
1159,111,112,111.0
1160,176,113,82.0
1161,94,89,81.0
1162,40,25,23.0
1163,181,157,139.0
1164,99,103,110.0
1165,60,54,45.0
1166,71,90,68.0
1167,61,67,74.0
1168,70,70,66.0
1169,169,144,129.0
1170,121,98,70.0
1171,158,121,67.0
1172,94,64,31.0
1173,86,80,88.0
1174,96,84,77.0
1175,115,29,25.0
1176,160,145,132.0
1177,45,38,35.0
1178,86,71,96.0
1179,147,142,133.0
1180,216,190,189.0
1181,74,67,69.0
1182,129,104,98.0
1183,163,124,98.0
1184,148,136,138.0
1185,63,58,51.0
1186,105,86,86.0
1187,93,81,75.0
1188,151,104,60.0
1189,156,146,124.0
1190,118,128,102.0
1191,142,113,105.0
1192,161,62,81.0
1193,172,172,172.0
1194,203,154,106.0
1195,160,116,76.0
1196,171,96,75.0
1197,61,50,32.0
1198,82,73,76.0
1199,185,132,103.0
1200,100,88,83.0
1201,125,123,126.0
